GroupId,MakersId,percentage
2,15,0.0011359710702514773
2,16,0.10852862592075267
2,17,0.07722980413537632
2,21,0.24762611093186307
2,22,0.13930193443942368
2,30,0.18321400093838353
2,37,0.22597415940201235
2,116,0.012777428331050797
2,117,0.10277935389288897
2,129,0.2046714219068294
2,132,0.0006112518246852212
2,136,0.11419120847618909
2,145,0.003934560509305539
2,159,0.0002258148751914579
2,165,0.22467222836027062
2,170,0.0733357220592589
2,179,0.0799597947776708
2,180,0.08487933164383911
2,184,0.18341914208963214
2,187,0.07162240782599721
2,191,0.0
2,198,0.0921732237972787
2,199,0.0627653092033183
2,202,0.09663668783902502
2,206,0.19454254121540804
2,210,0.162531729655077
2,211,0.20564549692329684
2,212,0.06896999055076848
2,213,0.032775454487280385
2,219,0.10735555647937386
2,220,0.09278451668572803
2,227,0.07528289728306793
2,228,0.11067544733001505
2,230,0.04876211187505767
2,231,0.06245254772432264
2,237,0.0818203471010636
2,238,0.12363508263031334
2,240,0.10121866301449592
2,244,0.006175015181293303
2,245,0.052220958909996326
2,247,0.2307043425535828
2,249,0.0955479350896491
2,250,0.016784447018013317
2,251,0.015651801738422486
2,252,0.013949167641330572
2,253,0.02660317331880949
2,254,0.002724606581591642
2,257,0.013556387807282468
3,15,0.014226630597057262
3,16,0.062377327894757494
3,17,0.10146227673969359
3,21,0.2279216337832113
3,22,0.23653566016785557
3,30,0.21241917727734344
3,37,0.3015095757426841
3,116,0.047904874566012196
3,117,0.04343040365634248
3,129,0.23431810181370336
3,132,0.0078718805433281
3,136,0.17262674785393836
3,145,0.014010692065173793
3,159,0.004032740063660211
3,165,0.14551413958772602
3,170,0.09532384772702039
3,179,0.06557676937069801
3,180,0.11615159966808232
3,184,0.21638263520261117
3,187,0.11074215018096739
3,191,0.0
3,198,0.18539944861892937
3,199,0.11426190931206248
3,202,0.11470991055374175
3,206,0.22867113468834896
3,210,0.1717080240625999
3,211,0.039887157634339775
3,212,0.1085275892266792
3,213,0.030460922755914995
3,219,0.07509780578554956
3,220,0.0649166231543939
3,227,0.10610397746450319
3,228,0.12356275960944578
3,230,0.02790736039158047
3,231,0.03541394816467762
3,237,0.16540909778743884
3,238,0.10140460984897844
3,240,0.11648984672593327
3,244,0.026184344180634787
3,245,0.052750137853999714
3,247,0.22474395241731185
3,249,0.15723661727693422
3,250,0.04440491454115301
3,251,0.03214987130695306
3,252,0.003750645085228273
3,253,0.0708310802584107
3,254,0.038003047490369625
3,257,0.06884315167863143
8,15,0.002672805791908002
8,16,0.10284846267860813
8,17,0.12000542107434903
8,21,0.21415929839335202
8,22,0.019535544194484247
8,30,0.1567781025895912
8,37,0.19721184878607453
8,116,0.0008888337800072141
8,117,0.0075849969309446956
8,129,0.1426874175625303
8,132,0.0013438161577584888
8,136,0.017797061269866424
8,145,0.0827014219593191
8,159,0.006017826092810762
8,165,0.2123754802081972
8,170,0.06994090123779036
8,179,0.01263177112562957
8,180,0.08987794233311369
8,184,0.21772301789005788
8,187,0.06486280394318299
8,191,0.0
8,198,0.09120322444446496
8,199,0.0965095723787582
8,202,0.006799429021596863
8,206,0.1988418414615384
8,210,0.04347740218629095
8,211,0.04645354369693108
8,212,0.12972886855763832
8,213,0.00791152810246859
8,219,0.045988591591391154
8,220,0.00534506508911989
8,227,0.07215252586158326
8,228,0.05968332064206584
8,230,0.005763669570348088
8,231,0.009416211437458086
8,237,0.10231254998355682
8,238,0.0035431991516363705
8,240,0.13499687863790327
8,244,0.0024334921293616835
8,245,0.05018970779515765
8,247,0.19509002339387294
8,249,0.11000355328496003
8,250,0.0028701601120696184
8,251,0.0006940502866826883
8,252,0.007408576544032568
8,253,0.008809784742323022
8,254,0.001783748732637322
8,257,0.0021270201598113155
47,15,0.1627496473808478
47,16,0.03355421670337451
47,17,0.1393902061796562
47,21,0.03451243217649516
47,22,0.062445651049834947
47,30,0.042668740783851564
47,37,0.07619440952850678
47,116,0.007869044048900663
47,117,0.09571696106425136
47,129,0.08799020028427905
47,132,0.15952779977798434
47,136,0.20210374267590728
47,145,0.013392135197784075
47,159,0.2233592589849242
47,165,0.23169681969567382
47,170,0.018754154129906046
47,179,0.14657269712529813
47,180,0.036541912963368374
47,184,0.06335536133708104
47,187,0.02216271474702899
47,191,0.0
47,198,0.06952000878429075
47,199,0.04127773406474295
47,202,0.2035516705444471
47,206,0.10205215611544567
47,210,0.06811801832762251
